Title,Normal Price,Sale Price,Savings,Deal Rating,Deal Link
Metro 2033 Redux,19.99,1.99,90.045023,9.9,https://www.cheapshark.com/redirect?dealID=o35o2DS12hd%2BlYrHgmxPiMry13keOtIO83Cziy6I2l8%3D
Disco Elysium - The Final Cut,39.99,9.99,75.018755,9.2,https://www.cheapshark.com/redirect?dealID=Uk9pH81%2BgPUwbkh9YzwMnYLT%2B%2FEaktqN8AgwMr6Y2wQ%3D
Warhammer: End Times - Vermintide,44.99,2.24,95.021116,9.1,https://www.cheapshark.com/redirect?dealID=IFYr9AIXHCkSKU0rkj1Tl2V1Cvk%2BWPz%2FmGaH2%2F%2BufYc%3D
Tom Clancy's Splinter Cell,9.99,2.49,75.075075,8.9,https://www.cheapshark.com/redirect?dealID=yM5zDX6hLQY9b1hrKL0teFLZSLQA%2BQGyXh6Alk6OvBo%3D
Metro: Last Light Redux,19.99,1.99,90.045023,8.9,https://www.cheapshark.com/redirect?dealID=XhuIoeWVY29a9sUD6GO1N8Imy7c6MN06GhWf5F293oE%3D
We Are The Dwarves,59.95,2.44,95.929942,8.9,https://www.cheapshark.com/redirect?dealID=llcNUF4JH6yPVGVQI3DD6h94KmCcRzg2u2HMZYNuplE%3D
Alien: Isolation,49.99,7.49,85.017003,8.9,https://www.cheapshark.com/redirect?dealID=jX%2BWl1EZ1RBQHkghGc8tl75PbO3%2BysrAtwf7zM%2BAhX8%3D
Silent Hunter III,9.99,2.49,75.075075,8.8,https://www.cheapshark.com/redirect?dealID=3%2BLw%2B3chUaZc9s86zlNNFtXGkOQIgtmAgF%2BsGHF2mpo%3D
"Warhammer 40,000: Gladius - Relics of War",39.99,3.99,90.022506,8.7,https://www.cheapshark.com/redirect?dealID=v%2BiCL66O3C4RNXMMs%2Bym74Nt0CV7OEVHVmloCZRVtS8%3D
Hamilton's Great Adventure,9.99,0.99,90.090090,8.7,https://www.cheapshark.com/redirect?dealID=x8Kfgl9R76ZwLqlksfLm3JyHByHXnS0v0Szr7FjEwpw%3D
Xpand Rally,4.99,0.99,80.160321,8.7,https://www.cheapshark.com/redirect?dealID=fgGw0t%2FU1b5nRlIKdzTX5W6hgenYkxA0njL%2BqBGLnko%3D
Warhammer: Chaosbane,29.99,2.99,90.030010,8.7,https://www.cheapshark.com/redirect?dealID=kskjIsfmDY%2F89fCnwe1ovpM9XJIHoFNXxDzdrlh9O9I%3D
Darkest Dungeon,24.99,3.74,85.034014,8.7,https://www.cheapshark.com/redirect?dealID=nzRknHTNmwxeXPuUVD4fpOnwQUs6FawipebfDeyQwYE%3D
Space Hulk: Tactics,34.98,4.20,87.993139,8.6,https://www.cheapshark.com/redirect?dealID=mzcuBaRn%2FrFjH1a9rChjFeJeUKlICnbblluaVllw39c%3D
Arcania,19.99,4.99,75.037519,8.6,https://www.cheapshark.com/redirect?dealID=GyuqznjIeixjJOYgI8CYFMMcOtAOPATRwBF5Gp7lyhI%3D
King's Bounty: Armored Princess,9.99,1.49,85.085085,8.6,https://www.cheapshark.com/redirect?dealID=a7aai9%2FkT8VYhuY5i9Q7sehnKeC4HAxuUGmyPPXdWyw%3D
"Warhammer 40,000: Armageddon",39.99,3.99,90.022506,8.6,https://www.cheapshark.com/redirect?dealID=0szFAoj%2Fx4jfwXyuBppdMejZVAymbMrty9pvX18uRAA%3D
Prince of Persia: Warrior Within,9.99,1.99,80.080080,8.6,https://www.cheapshark.com/redirect?dealID=0zluZy%2BMo%2FnKMr3O%2F%2BK%2B8L%2Fn4r5W7SVPX5oqGLePt7E%3D
Down in Bermuda,19.99,1.99,90.045023,8.6,https://www.cheapshark.com/redirect?dealID=t9Na7ild9vrifsqlTURwCZdk1hyes9aMo66ssf%2FKIio%3D
Rogue Legacy,14.99,2.99,80.053369,8.5,https://www.cheapshark.com/redirect?dealID=79CFBAHVgXha%2FtaddqiaHhxlXvoGRcROj%2BVhgH1E%2FoI%3D
Mordheim: City of the Damned,19.99,1.99,90.045023,8.5,https://www.cheapshark.com/redirect?dealID=d7qu6rU0j8HvFxBS6NrlM8PdWjD9zYYeX0LqcK3yGAw%3D
Sub Command,9.99,1.99,80.080080,8.5,https://www.cheapshark.com/redirect?dealID=%2FQvOMrB12Q7a0LFPTjLSE7spMcwWPeHNE5QFSWGxFpU%3D
Full Metal Furies,19.99,3.99,80.040020,8.5,https://www.cheapshark.com/redirect?dealID=9aJ9UjjMnXoHtJv0mJo4jE2nw8YSK%2BaievwDOenqlyE%3D
XCOM: Enemy Unknown,29.99,2.99,90.030010,8.5,https://www.cheapshark.com/redirect?dealID=F8so5KCN6t%2BVObO8mQwaxJJ8vfmf5iSOCZd65O82loI%3D
Fell Seal: Arbiter's Mark,29.99,4.49,85.028343,8.5,https://www.cheapshark.com/redirect?dealID=7CGhpKOGh2iarxBhxvp%2BKeILgwHQNu05RafNX6DF3s8%3D
Hard West,19.99,1.99,90.045023,8.5,https://www.cheapshark.com/redirect?dealID=jkOQOyfUzv6U%2BmOIkjo4iqovuhOgweRnUSGF5dPPksE%3D
The Metronomicon: Slay The Dance Floor,19.99,2.39,88.044022,8.5,https://www.cheapshark.com/redirect?dealID=mtDXLRaQLegs1SXr66l4lLP0HXRPFlhWmeUZPYtkBdE%3D
King's Bounty: The Legend,6.99,1.04,85.121602,8.5,https://www.cheapshark.com/redirect?dealID=3SptId9EJcJrZ81tHPjT9w1boLX6rf1Le%2BxCVdP2jjM%3D
Phantom Doctrine,39.99,3.99,90.022506,8.4,https://www.cheapshark.com/redirect?dealID=i26N%2FFRkHHAPE2geXec4NncwCUM1u%2B9dTeGPcYkVdz8%3D
Cris Tales,39.99,3.99,90.022506,8.4,https://www.cheapshark.com/redirect?dealID=BMZEGBjTXUOD%2BhElJG8JkhLwlW2x3tvG7z%2FK49zIs5w%3D
Encased: A Sci-Fi Post-Apocalyptic RPG,29.99,2.99,90.030010,8.4,https://www.cheapshark.com/redirect?dealID=6X%2BZiogQII6Q9JaxEWtbszALJcujeCkvBJengVU%2B1kY%3D
BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,14.99,3.74,75.050033,8.4,https://www.cheapshark.com/redirect?dealID=32ybKEkF3Y3BSgIO%2BiW5wXTyd1PwM8KL5296KPcKmDg%3D
Call of Juarez: Gunslinger,14.99,2.99,80.053369,8.4,https://www.cheapshark.com/redirect?dealID=OK4NFCD%2FLGh6MUuCKofG2cBFKomTav45pI%2F7b%2BmKwcQ%3D
Call of Juarez: Bound in Blood,9.99,1.99,80.080080,8.4,https://www.cheapshark.com/redirect?dealID=xL5HVmkcX9M7VGwRLw6h16U4WrA357auNnDDbshNbw0%3D
