Title,Normal Price,Sale Price,Savings,Deal Rating,Deal Link
Portal 2,9.99,1.00,89.989990,10.0,https://www.cheapshark.com/redirect?dealID=rwQ2JCEr5NOySyBsAj6fyPuZg4qMlh9w67U%2BmM6b2VE%3D
Portal,9.99,1.00,89.989990,9.5,https://www.cheapshark.com/redirect?dealID=rPSCN3%2FJpoZ0SjQ%2FgDXvmCifMHiePHA9JjbUPcGPS3w%3D
Syberia,12.99,1.29,90.069284,9.4,https://www.cheapshark.com/redirect?dealID=i914qfpEQXAoHDprl4sg4JPGnAI%2BiIGPGx8kqWlFnyk%3D
Syberia II,12.99,1.29,90.069284,9.3,https://www.cheapshark.com/redirect?dealID=Yey%2Fi78E%2BSiyxOrAtL13Dm79ni0XbBMcpQpIyHuoPYE%3D
The Inner World - The Last Wind Monk,19.99,1.59,92.046023,9.2,https://www.cheapshark.com/redirect?dealID=Wa5qiz7qG5nJuDKq5uViAywtw8kcM95uODQ96RKRb3Q%3D
The Textorcist: The Story of Ray Bibbia,14.99,1.19,92.061374,9.2,https://www.cheapshark.com/redirect?dealID=yHwHEUOSnAYu2oHH4egqsPEsay39S2LKabnrOT2v2JM%3D
Tales of Berseria,49.99,4.99,90.018004,9.1,https://www.cheapshark.com/redirect?dealID=WmIfMufiI6OAv7o26F5xaMlbM7t5AaSC5pu6UBs4bAo%3D
Valfaris,24.99,2.49,90.036014,9.1,https://www.cheapshark.com/redirect?dealID=1WnSkUl4HVy1GxtpZRKBJ5QaMwxwg%2Fyof1cdmMwAGbE%3D
Europa Universalis IV,49.99,4.99,90.018004,9.1,https://www.cheapshark.com/redirect?dealID=vL71CK2%2FNgPmTBqXjYF5%2FVAHB6DCrQlEfO3HmfpDjQU%3D
STEINS;GATE,29.99,5.99,80.026676,9.0,https://www.cheapshark.com/redirect?dealID=niXrsAcK%2FHsMB0ytxc4kvgV%2FIbw1DUsRyp7RiBEzoOs%3D
NeuraGun,114.93,4.61,95.988863,9.0,https://www.cheapshark.com/redirect?dealID=%2BVA0VPiVnyED6hBhBo5xZuzzPgFkQqggXv3eCDF2hp8%3D
Bridge Constructor Portal,9.99,0.99,90.090090,9.0,https://www.cheapshark.com/redirect?dealID=5pOCXB3pu3%2FlUydWHwAeME0yIHQKuGF2QZQyoQpnPxo%3D
Poly Bridge,9.99,0.99,90.090090,8.9,https://www.cheapshark.com/redirect?dealID=E1Otoc%2B7bswCzBTTctrev2zxgsoL5MLd89wK8d%2Bz1S4%3D
Degrees of Separation,19.99,1.99,90.045023,8.9,https://www.cheapshark.com/redirect?dealID=fEeuNRFNpsitieSkTdeU53Yfi5qwRsAI9VW%2BsxPT1XU%3D
Airscape: The Fall of Gravity,15.96,2.08,86.967419,8.9,https://www.cheapshark.com/redirect?dealID=q1UFZHqIZfW0HngET7MRT8s9erUzGCTafet8JwTalxg%3D
The Inner World,14.99,1.19,92.061374,8.9,https://www.cheapshark.com/redirect?dealID=Hj%2B%2BtuFWB5%2F8YfjBzmprrH5dEtAxye3wgqDDdkpBmew%3D
Tomb Raider: Anniversary,8.99,0.98,89.098999,8.9,https://www.cheapshark.com/redirect?dealID=ryaV37fbWkAIG6ZLy%2FtViuEGOIShgUVV7kpgbYlDqQk%3D
X3: Reunion,9.99,0.99,90.090090,8.9,https://www.cheapshark.com/redirect?dealID=kuHXq%2BxXzl4wiZ%2BJsJM7cu9eN6OyT7uuA3Dyg66TuF8%3D
Scarlet Hood and the Wicked Wood,14.99,1.19,92.061374,8.9,https://www.cheapshark.com/redirect?dealID=jnAQ%2FHqBWrBSSptHZbUatXmZtLJMkevFPUOr7A%2Fu2Tg%3D
Bridge Constructor The Walking Dead,9.99,0.99,90.090090,8.8,https://www.cheapshark.com/redirect?dealID=29FN6QPuJ%2FXVcKvLdSlHn8VOx0FImR164kHfYE1dpJ8%3D
Tomb Raider,14.99,2.24,85.056704,8.7,https://www.cheapshark.com/redirect?dealID=kWwtV4oy9hfOjwLK521is0GJsspEXRq8K6pQKH6xvI0%3D
Darkest Hour: A Hearts of Iron Game,9.99,1.99,80.080080,8.7,https://www.cheapshark.com/redirect?dealID=h9YhM8Er72O5bJRkkMi61fp1vfhcEm0RZq%2BUpc0AoEs%3D
Starpoint Gemini 2,34.99,3.49,90.025722,8.7,https://www.cheapshark.com/redirect?dealID=r1HYM3NRNOSSivKhd0TQf6OpvPONHHLTBO1%2Fnvg%2FAGA%3D
MotoGP23,39.99,5.99,85.021255,8.7,https://www.cheapshark.com/redirect?dealID=JVPr%2BblakYQoAo2ecOMqABYF1NcS1HBLlim0kQ7iKyY%3D
Tomb Raider: Underworld,8.99,0.98,89.098999,8.7,https://www.cheapshark.com/redirect?dealID=XhdaphoqPFV2dl6MtPYcKItazwVt9ldkx4ybvnmPfZ0%3D
Rise of the Tomb Raider,29.99,4.49,85.028343,8.6,https://www.cheapshark.com/redirect?dealID=JLFqGNvtew3enSlgxRtAZBJ3GeU4Rd0XYhGePiQcaI8%3D
Lost Words: Beyond the Page,14.99,2.24,85.056704,8.6,https://www.cheapshark.com/redirect?dealID=%2Bj4S%2BgbmO05lqP9wahZcgcA15RqRT84JMDY%2FGGpSGSo%3D
Tomb Raider: Legend,6.99,0.97,86.123033,8.6,https://www.cheapshark.com/redirect?dealID=aM%2FwlRYvYES0Xzqw%2BxWNDihJpcSrvzKTx8jmQzisauQ%3D
ROBOTICS;NOTES ELITE,34.99,6.99,80.022864,8.6,https://www.cheapshark.com/redirect?dealID=823k1PnY3nqLP2fNfOgtrT65kYmgnpEpGT5NSzY%2BcM4%3D
Drug Dealer Simulator,19.99,1.99,90.045023,8.6,https://www.cheapshark.com/redirect?dealID=1zn3gnxbiZzSj3THzTerATmN1IQaiyvk78AB5zGvJ9A%3D
Alien Breed: Impact,9.99,1.09,89.089089,8.5,https://www.cheapshark.com/redirect?dealID=7czDSSkjHzm50ZgIzSzPSt9%2BAjXqgbDNH%2FwK4VyVQi0%3D
Overcooked,16.99,3.39,80.047087,8.5,https://www.cheapshark.com/redirect?dealID=4%2BUv0qUt2n7UF3GHP2saprSgSxVeBimnnQdjgm%2FxrEQ%3D
Alwas Legacy,17.99,3.23,82.045581,8.5,https://www.cheapshark.com/redirect?dealID=59gY%2BYROD9TY9J5%2BidGX393WYgGnPAPLVjXqmPAVKbI%3D
Grotesque Tactics: Evil Heroes,9.99,0.99,90.090090,8.5,https://www.cheapshark.com/redirect?dealID=di8Rqg%2Fq9iuf3Sf0IUCgsL%2BIaQbFhTF4nQN%2Fzxr2JPc%3D
Silver Chains,24.99,1.24,95.038015,8.5,https://www.cheapshark.com/redirect?dealID=2DH3yghvj2O9prMuossUmUhRwHxuupq96o%2Ba1zk8eqM%3D
Lara Croft and the Guardian of Light,9.99,1.49,85.085085,8.5,https://www.cheapshark.com/redirect?dealID=T51u9WVOmHHnOMf5%2B5rneO0MopDsUPrUa5nrFVFAoMM%3D
Vambrace: Cold Soul,24.99,1.99,92.036815,8.4,https://www.cheapshark.com/redirect?dealID=G426jFzuqtCspCA6uAZkBPqq8EJHlhk%2FCGT1aYgiaNo%3D
The Suicide of Rachel Foster,17.99,1.79,90.050028,8.4,https://www.cheapshark.com/redirect?dealID=hd3nyL8OPS3crjl4gzPmcyINXHjHR7zdJNZSdjf8B9Q%3D
